MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,NM,1960,0.0
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,NM,1960,6396.79018
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,NM,1960,6396.79018
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,NM,1960,6396.79018
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,NM,1960,1013.90049
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,NM,1960,1013.90049
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,NM,1960,1013.90049
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,NM,1960,41.47741
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,NM,1960,392.88432
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,NM,1960,649.075
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,NM,1960,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,NM,1960,2415.68852
CLPRB,CLPRP,Coal production.,Thousand short tons,NM,1960,5518.3762
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,NM,1960,565.37029
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,NM,1960,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,NM,1960,11178.51343
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,NM,1960,623.15623
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,NM,1960,5987.73238
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,NM,1960,16.66538
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,NM,1960,0.0
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,NM,1960,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,NM,1960,0.0
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,NM,1960,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,NM,1960,3284.7051
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,NM,1960,5282.31168
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,NM,1960,2975.08658
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,NM,1960,11542.10336
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,NM,1960,0.0
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,NM,1960,0.0
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,NM,1960,0.0
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,NM,1960,0.0
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,NM,1960,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,NM,1960,745.4528
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,NM,1960,0.0
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,NM,1960,11705.40022
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,NM,1960,2.97221
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,NM,1960,2.97221
JNACB,JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,NM,1960,11702.42801
JNTCB,JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,NM,1960,11702.42801
KSCCB,KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,NM,1960,25.49754
KSICB,KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,NM,1960,2626.59887
KSRCB,KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,NM,1960,97.34449
LGACB,LGACP,LPG consumed by the transportation sector.,Thousand barrels,NM,1960,499.08388
LGCCB,LGCCP,LPG consumed by the commercial sector.,Thousand barrels,NM,1960,1298.61416
LGICB,LGICP,LPG consumed by the industrial sector.,Thousand barrels,NM,1960,4789.84483
LGRCB,LGRCP,LPG consumed by the residential sector.,Thousand barrels,NM,1960,5500.41285
LUACB,LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,NM,1960,963.13407
LUICB,LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,NM,1960,407.47981
MBICB,MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,NM,1960,0.0
MGACB,MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,NM,1960,48394.65654
MGCCB,MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,NM,1960,243.26013
MGICB,MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,NM,1960,1552.2065
MSICB,MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,NM,1960,0.0
NAICB,NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels,NM,1960,0.0
NGACB,NGACP,Natural gas consumed by the transportation sector.,Million cubic feet,NM,1960,17566.02
NGCCB,NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,NM,1960,9333.63
NGEIB,NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,NM,1960,34880.24831
