MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,TX,1987,11.80697
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,TX,1987,83620.0417
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,TX,1987,83620.0417
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,TX,1987,83620.0417
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,TX,1987,5806.03751
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,TX,1987,5806.03751
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,TX,1987,5806.03751
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,TX,1987,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,TX,1987,527.18764
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,TX,1987,1141356.539
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,TX,1987,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,TX,1987,61883.50488
CLPRB,CLPRP,Coal production.,Thousand short tons,TX,1987,640051.3483
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,TX,1987,157.47163
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,TX,1987,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,TX,1987,280676.2015
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,TX,1987,29852.8426
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,TX,1987,95790.51066
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,TX,1987,298.72994
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,TX,1987,136.52436
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,TX,1987,1.21467
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,TX,1987,3841.6271
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,TX,1987,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,TX,1987,213111.6912
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,TX,1987,270358.8993
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,TX,1987,253748.2734
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,TX,1987,737218.8639
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,1987,127701.5102
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,1987,203829.2976
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,TX,1987,0.0
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,TX,1987,0.0
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,TX,1987,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,TX,1987,22481.84731
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,TX,1987,0.0
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,TX,1987,477555.3401
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,TX,1987,445096.7367
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,TX,1987,445096.7367
JNACB,JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,TX,1987,32458.60347
JNTCB,JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,TX,1987,32458.60347
KSCCB,KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,TX,1987,464.28098
KSICB,KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,TX,1987,2515.94678
KSRCB,KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,TX,1987,336.16154
LGACB,LGACP,LPG consumed by the transportation sector.,Thousand barrels,TX,1987,1653.67199
LGCCB,LGCCP,LPG consumed by the commercial sector.,Thousand barrels,TX,1987,7067.24924
LGICB,LGICP,LPG consumed by the industrial sector.,Thousand barrels,TX,1987,964291.57
LGRCB,LGRCP,LPG consumed by the residential sector.,Thousand barrels,TX,1987,23264.29262
LUACB,LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,TX,1987,11649.03216
LUICB,LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,TX,1987,20929.97475
MBICB,MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,TX,1987,-33391.82095
MGACB,MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,TX,1987,1044387.931
MGCCB,MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,TX,1987,12062.28078
MGICB,MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,TX,1987,22187.6806
MSICB,MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,TX,1987,50408.97259
NAICB,NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels,TX,1987,0.0
NGACB,NGACP,Natural gas consumed by the transportation sector.,Million cubic feet,TX,1987,84403.71408
NGCCB,NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,TX,1987,163134.026
NGEIB,NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,TX,1987,1086547.504
NGICB,NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet,TX,1987,1881722.518
NGLPB,NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet,TX,1987,370824.5325
NGMPB,NGMPP,Natural gas marketed production.,Million cubic feet,TX,1987,6972153.488
NGPZB,NGPZP,Natural gas consumed as pipeline fuel.,Million cubic feet,TX,1987,84403.71408
NGRCB,NGRCP,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet,TX,1987,219606.423
NGTCB,NGTCP,Natural gas total consumption (including supplemental gaseous fuels).,Million cubic feet,TX,1987,3435412.606
NGVHB,NGVHP,Natural gas consumed as vehicle fuel.,Million cubic feet,TX,1987,0.0
NUEGB,NUEGP,Electricity produced from nuclear power by the electric power sector.,Million kilowatthours,TX,1987,0.0
NUETB,NUETP,Electricity produced from nuclear power.,Million kilowatthours,TX,1987,0.0
PAPRB,PAPRP,Crude oil production (including lease condensate).,Thousand barrels,TX,1987,4554605.75
PCCCB,PCCCP,Petroleum coke consumed by the commercial sector.,Thousand barrels,TX,1987,0.0
PCEIB,PCEIP,Petroleum coke consumed by the electric power sector.,Thousand barrels,TX,1987,0.0
PLICB,PLICP,Plant condensate consumed by the industrial sector.,Thousand barrels,TX,1987,0.0
PPICB,PPICP,Pentanes plus consumed by the industrial sector.,Thousand barrels,TX,1987,85140.98744
RFACB,RFACP,Residual fuel oil consumed by the transportation sector.,Thousand barrels,TX,1987,122734.667
RFCCB,RFCCP,Residual fuel oil consumed by the commercial sector.,Thousand barrels,TX,1987,3367.53963
RFEIB,RFEIP,Residual fuel oil consumed by the electric power sector.,Thousand barrels,TX,1987,3582.37661
RFICB,RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels,TX,1987,8449.42899
SGICB,SGICP,Still gas consumed by the industrial sector.,Thousand barrels,TX,1987,365699.2347
SNICB,SNICP,Special naphthas consumed by the industrial sector.,Thousand barrels,TX,1987,8847.16525
SOEGB,SOEGP,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours,TX,1987,0.0
UOICB,UOICP,Unfinished oils consumed by the industrial sector.,Thousand barrels,TX,1987,-94221.2238
USICB,USICP,Unfractionated stream consumed by the industrial sector.,Thousand barrels,TX,1987,0.0
WXICB,WXICP,Waxes consumed by the industrial sector.,Thousand barrels,TX,1987,2326.48317
WYEGB,WYEGP,Electricity produced from wind energy by the electric power sector.,Million kilowatthours,TX,1987,0.0
