MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,TX,1991,-21.08454
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,TX,1991,62183.02441
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,TX,1991,62183.02441
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,TX,1991,62183.02441
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,TX,1991,3308.63765
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,TX,1991,3308.63765
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,TX,1991,3308.63765
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,TX,1991,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,TX,1991,225.31205
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,TX,1991,1269987.633
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,TX,1991,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,TX,1991,63187.05005
CLPRB,CLPRP,Coal production.,Thousand short tons,TX,1991,674066.6225
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,TX,1991,49.45874
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,TX,1991,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,TX,1991,306723.3761
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,TX,1991,12948.29138
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,TX,1991,101545.1961
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,TX,1991,14.46214
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,TX,1991,1524.56008
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,TX,1991,0.04777
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,TX,1991,2021.20256
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,TX,1991,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,TX,1991,246145.9552
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,TX,1991,287025.7073
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,TX,1991,286908.6347
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,TX,1991,820080.2972
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,1991,113483.7437
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,1991,314050.9257
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,TX,1991,0.0
