MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,NM,1993,0.94181
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,NM,1993,16179.46817
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,NM,1993,16179.46817
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,NM,1993,16179.46817
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,NM,1993,357.69881
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,NM,1993,357.69881
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,NM,1993,357.69881
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,NM,1993,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,NM,1993,158.67344
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,NM,1993,268777.0108
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,NM,1993,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,NM,1993,1302.36
CLPRB,CLPRP,Coal production.,Thousand short tons,NM,1993,535318.183
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,NM,1993,34.83076
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,NM,1993,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,NM,1993,34896.28371
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,NM,1993,1650.99688
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,NM,1993,7371.69693
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,NM,1993,29.76878
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,NM,1993,0.0
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,NM,1993,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,NM,1993,205.09725
