MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,AZ,1974,0.0
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,AZ,1974,26101.18145
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,AZ,1974,26101.18145
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,AZ,1974,26101.18145
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,AZ,1974,2046.76309
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,AZ,1974,2046.76309
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,AZ,1974,2046.76309
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,AZ,1974,0.11463
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,AZ,1974,0.0
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,AZ,1974,48136.39713
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,AZ,1974,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,AZ,1974,222.39544
CLPRB,CLPRP,Coal production.,Thousand short tons,AZ,1974,142379.1262
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,AZ,1974,0.0
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,AZ,1974,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,AZ,1974,29559.94774
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,AZ,1974,2815.62151
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,AZ,1974,18774.89803
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,AZ,1974,1256.99446
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,AZ,1974,98.15519
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,AZ,1974,22.98664
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,AZ,1974,0.0
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,AZ,1974,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,AZ,1974,23268.64239
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,AZ,1974,21727.60918
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,AZ,1974,24209.07489
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,AZ,1974,69205.32645
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,AZ,1974,0.0
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,AZ,1974,0.0
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,AZ,1974,17.60592
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,AZ,1974,0.0
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,AZ,1974,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,AZ,1974,77205.95518
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,AZ,1974,69.41842
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,AZ,1974,39111.75011
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,AZ,1974,19713.06415
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,AZ,1974,20450.16415
