MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,TX,1988,-277.80916
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,TX,1988,95781.00946
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,TX,1988,95781.00946
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,TX,1988,95781.00946
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,TX,1988,5112.00283
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,TX,1988,5112.00283
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,TX,1988,5112.00283
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,TX,1988,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,TX,1988,861.53053
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,TX,1988,1210838.297
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,TX,1988,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,TX,1988,52170.15123
CLPRB,CLPRP,Coal production.,Thousand short tons,TX,1988,658102.249
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,TX,1988,242.99579
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,TX,1988,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,TX,1988,277731.9625
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,TX,1988,20654.30964
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,TX,1988,102156.1561
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,TX,1988,117.46975
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,TX,1988,108.2457
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,TX,1988,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,TX,1988,2881.91281
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,TX,1988,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,TX,1988,223524.9582
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,TX,1988,278348.9265
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,TX,1988,263594.2101
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,TX,1988,765468.0948
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,1988,130521.6848
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,1988,214041.0749
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,TX,1988,0.0
