MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,CA,1986,80.96497
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,CA,1986,102016.5525
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,CA,1986,102016.5525
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,CA,1986,102016.5525
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,CA,1986,6754.36651
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,CA,1986,6754.36651
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,CA,1986,6754.36651
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,CA,1986,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,CA,1986,0.0
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,CA,1986,0.0
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,CA,1986,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,CA,1986,42518.7609
CLPRB,CLPRP,Coal production.,Thousand short tons,CA,1986,0.0
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,CA,1986,0.0
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,CA,1986,85263.8106
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,CA,1986,309339.4237
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,CA,1986,33412.35774
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,CA,1986,88745.74098
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,CA,1986,1416.46886
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,CA,1986,389.86194
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,CA,1986,13288.3752
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,CA,1986,1424.55805
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,CA,1986,905.87303
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,CA,1986,254969.1136
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,CA,1986,180440.8119
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,CA,1986,196334.2798
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,CA,1986,632650.0784
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,CA,1986,8144.33861
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,CA,1986,14557.17467
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,CA,1986,0.0
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,CA,1986,105700.5124
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,CA,1986,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,CA,1986,433077.1206
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,CA,1986,0.0
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,CA,1986,422107.7595
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,CA,1986,351771.3127
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,CA,1986,351771.3127
JNACB,JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,CA,1986,70336.44675
JNTCB,JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,CA,1986,70336.44675
KSCCB,KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,CA,1986,637.75695
KSICB,KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,CA,1986,1106.08438
KSRCB,KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,CA,1986,1040.20261
LGACB,LGACP,LPG consumed by the transportation sector.,Thousand barrels,CA,1986,3390.26273
LGCCB,LGCCP,LPG consumed by the commercial sector.,Thousand barrels,CA,1986,4528.94824
LGICB,LGICP,LPG consumed by the industrial sector.,Thousand barrels,CA,1986,52221.28395
LGRCB,LGRCP,LPG consumed by the residential sector.,Thousand barrels,CA,1986,13093.41841
LUACB,LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,CA,1986,15131.58779
LUICB,LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,CA,1986,11348.69087
MBICB,MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,CA,1986,-42194.35915
MGACB,MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,CA,1986,1442669.639
MGCCB,MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,CA,1986,9220.47502
MGICB,MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,CA,1986,16683.43056
MSICB,MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,CA,1986,3262.59413
NAICB,NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels,CA,1986,0.0
NGACB,NGACP,Natural gas consumed by the transportation sector.,Million cubic feet,CA,1986,12793.1001
NGCCB,NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,CA,1986,189475.1207
NGEIB,NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,CA,1986,464216.1251
NGICB,NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet,CA,1986,443284.7537
NGLPB,NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet,CA,1986,23812.66315
NGMPB,NGMPP,Natural gas marketed production.,Million cubic feet,CA,1986,511410.7223
NGPZB,NGPZP,Natural gas consumed as pipeline fuel.,Million cubic feet,CA,1986,12793.1001
NGRCB,NGRCP,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet,CA,1986,481277.4209
NGTCB,NGTCP,Natural gas total consumption (including supplemental gaseous fuels).,Million cubic feet,CA,1986,1591044.552
NGVHB,NGVHP,Natural gas consumed as vehicle fuel.,Million cubic feet,CA,1986,0.0
NUEGB,NUEGP,Electricity produced from nuclear power by the electric power sector.,Million kilowatthours,CA,1986,277331.5318
NUETB,NUETP,Electricity produced from nuclear power.,Million kilowatthours,CA,1986,277331.5318
PAPRB,PAPRP,Crude oil production (including lease condensate).,Thousand barrels,CA,1986,2358657.0
PCCCB,PCCCP,Petroleum coke consumed by the commercial sector.,Thousand barrels,CA,1986,0.0
PCEIB,PCEIP,Petroleum coke consumed by the electric power sector.,Thousand barrels,CA,1986,0.0
PLICB,PLICP,Plant condensate consumed by the industrial sector.,Thousand barrels,CA,1986,0.0
PPICB,PPICP,Pentanes plus consumed by the industrial sector.,Thousand barrels,CA,1986,4672.18558
RFACB,RFACP,Residual fuel oil consumed by the transportation sector.,Thousand barrels,CA,1986,230786.7758
RFCCB,RFCCP,Residual fuel oil consumed by the commercial sector.,Thousand barrels,CA,1986,6047.3063
RFEIB,RFEIP,Residual fuel oil consumed by the electric power sector.,Thousand barrels,CA,1986,33521.24036
RFICB,RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels,CA,1986,94588.34654
SGICB,SGICP,Still gas consumed by the industrial sector.,Thousand barrels,CA,1986,208476.9772
SNICB,SNICP,Special naphthas consumed by the industrial sector.,Thousand barrels,CA,1986,15619.03977
SOEGB,SOEGP,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours,CA,1986,146.57775
UOICB,UOICP,Unfinished oils consumed by the industrial sector.,Thousand barrels,CA,1986,-52391.08714
USICB,USICP,Unfractionated stream consumed by the industrial sector.,Thousand barrels,CA,1986,0.0
WXICB,WXICP,Waxes consumed by the industrial sector.,Thousand barrels,CA,1986,2984.15674
WYEGB,WYEGP,Electricity produced from wind energy by the electric power sector.,Million kilowatthours,CA,1986,27.94148
