MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,NM,1994,38.24966
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,NM,1994,14030.73602
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,NM,1994,14030.73602
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,NM,1994,14030.73602
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,NM,1994,311.8455
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,NM,1994,311.8455
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,NM,1994,311.8455
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,NM,1994,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,NM,1994,149.50999
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,NM,1994,276717.9585
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,NM,1994,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,NM,1994,1490.968
CLPRB,CLPRP,Coal production.,Thousand short tons,NM,1994,533893.3493
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,NM,1994,26.38412
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,NM,1994,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,NM,1994,31942.85546
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,NM,1994,1082.14473
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,NM,1994,6310.48154
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,NM,1994,40.46901
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,NM,1994,0.0
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,NM,1994,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,NM,1994,530.65377
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,NM,1994,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,NM,1994,22501.81927
