MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,AZ,1968,15229.11009
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,AZ,1968,15229.11009
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,AZ,1968,15229.11009
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,AZ,1968,2402.64421
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,AZ,1968,2402.64421
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,AZ,1968,2402.64421
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,AZ,1968,0.04877
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,AZ,1968,0.0
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,AZ,1968,8114.70867
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,AZ,1968,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,AZ,1968,22.41046
CLPRB,CLPRP,Coal production.,Thousand short tons,AZ,1968,0.0
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,AZ,1968,0.0
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,AZ,1968,17593.89967
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,AZ,1968,1283.17049
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,AZ,1968,7302.12523
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,AZ,1968,572.85333
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,AZ,1968,128.67007
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,AZ,1968,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,AZ,1968,0.0
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,AZ,1968,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,AZ,1968,12880.67873
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,AZ,1968,12691.06024
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,AZ,1968,11063.76485
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,AZ,1968,36635.50382
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,AZ,1968,0.0
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,AZ,1968,0.0
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,AZ,1968,0.0
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,AZ,1968,0.0
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,AZ,1968,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,AZ,1968,59219.32388
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,AZ,1968,89.82499
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,AZ,1968,44161.97235
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,AZ,1968,13906.17855
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,AZ,1968,13906.17855
JNACB,JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,AZ,1968,30255.7938
JNTCB,JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,AZ,1968,30255.7938
KSCCB,KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,AZ,1968,6.0013
KSICB,KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,AZ,1968,39.96324
KSRCB,KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,AZ,1968,33.27995
LGACB,LGACP,LPG consumed by the transportation sector.,Thousand barrels,AZ,1968,213.69228
LGCCB,LGCCP,LPG consumed by the commercial sector.,Thousand barrels,AZ,1968,799.00195
LGICB,LGICP,LPG consumed by the industrial sector.,Thousand barrels,AZ,1968,644.47069
LGRCB,LGRCP,LPG consumed by the residential sector.,Thousand barrels,AZ,1968,2502.65899
LUACB,LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,AZ,1968,1277.41758
LUICB,LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,AZ,1968,630.2677
MBICB,MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
MGACB,MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,AZ,1968,90102.13414
MGCCB,MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,AZ,1968,831.063
MGICB,MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,AZ,1968,2230.75469
MSICB,MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
NAICB,NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
NGACB,NGACP,Natural gas consumed by the transportation sector.,Million cubic feet,AZ,1968,27869.476
NGCCB,NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,AZ,1968,25166.564
NGEIB,NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,AZ,1968,50418.46126
NGICB,NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet,AZ,1968,57801.644
NGLPB,NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet,AZ,1968,21.52
NGMPB,NGMPP,Natural gas marketed production.,Million cubic feet,AZ,1968,932.979
NGPZB,NGPZP,Natural gas consumed as pipeline fuel.,Million cubic feet,AZ,1968,27869.476
NGRCB,NGRCP,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet,AZ,1968,28708.756
NGTCB,NGTCP,Natural gas total consumption (including supplemental gaseous fuels).,Million cubic feet,AZ,1968,189964.9013
NGVHB,NGVHP,Natural gas consumed as vehicle fuel.,Million cubic feet,AZ,1968,0.0
NUEGB,NUEGP,Electricity produced from nuclear power by the electric power sector.,Million kilowatthours,AZ,1968,0.0
NUETB,NUETP,Electricity produced from nuclear power.,Million kilowatthours,AZ,1968,0.0
PAPRB,PAPRP,Crude oil production (including lease condensate).,Thousand barrels,AZ,1968,19546.0
PCCCB,PCCCP,Petroleum coke consumed by the commercial sector.,Thousand barrels,AZ,1968,0.0
PCEIB,PCEIP,Petroleum coke consumed by the electric power sector.,Thousand barrels,AZ,1968,0.0
PLICB,PLICP,Plant condensate consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
PPICB,PPICP,Pentanes plus consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
RFACB,RFACP,Residual fuel oil consumed by the transportation sector.,Thousand barrels,AZ,1968,0.0
RFCCB,RFCCP,Residual fuel oil consumed by the commercial sector.,Thousand barrels,AZ,1968,198.34353
RFEIB,RFEIP,Residual fuel oil consumed by the electric power sector.,Thousand barrels,AZ,1968,295.71533
RFICB,RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels,AZ,1968,246.19641
SGICB,SGICP,Still gas consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
SNICB,SNICP,Special naphthas consumed by the industrial sector.,Thousand barrels,AZ,1968,0.0
SOEGB,SOEGP,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours,AZ,1968,0.0
